p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Ranee Narah,Smt. Ranee Narah,#N/A,31-Oct-65,Assam,Assam,https://twitter.com/raneenarah,Lakhimpur,Lakhimpur,Indian National Congress,F,"5,39,76,290",Involved in (i) North East Socio Cultural Organisation (NESCO); (ii)  Jankalyan; (iii) social and welfare activities since student days; (iv)organised several State and National level programmes for mobilisation of youth ,"B.A.                   Educated at Gauhati University, Guwahati, Assam  ","Australia, Bangladesh, Cuba, Pakistan, Singapore, Thailand, U.K. and U.S.A.","78, Old MLA Hostel, Guwahati,Dispur AssamTel. (0361) 2228274",,"Active in womens` Cricket since school days; Captain of Assam Womens` cricket team; President, Womens` Cricket Association of India ",Guwahati (Assam),,"5,39,76,290 5",,Indian National Congress,"Sports, Cultural and promotion of womens` interest "
Anant Geete,Shri Anant Gangaram Geete,#N/A,2-Jun-51,Maharashtra,Maharashtra,No,Raigad,Raigad,Shiv Sena,M,"85,55,617",,"Matriculate               Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra)","Member, Indian Parliamentary Delegation led by the Honble Speaker, Shri G.M.C. Balayogi,  Russia, 1998 and U.K., France, Egypt and U.A.E., March-April, 2000; (i) Addressed United Nations General Assembly, New York in October 2000, October 2004 and 2007","A-5, Joshi Apartments, Lallubhai Park Road,Andheri (West), Mumbai - 400 058, MaharashtraTels. (022) 26705020, 26203131, 26706548",,,Mumbai (Maharashtra),,"85,55,617 85 L",,Shivsena,
Jagdambika Pal,Shri Jagdambika Pal,#N/A,21-Oct-50,Uttar Pradesh,Uttar Pradesh,https://twitter.com/Jagdambika,Domariyaganj,Domariyaganj,Indian National Congress,M,"4,97,21,330","Office bearer of All India Bhojpur Mahotsav, related to many cultural activities; <I>Chairman<I>, Surya Group of Institutions (i)College of Engineering, Science and Technology, Gaura, Mohanlalganj, Lucknow; (ii) Surya School of Planning, Engineering and Management, Hariharpur, Lucknow; (iii) Surya College for Pharmacy, Gaura, Mohanlalganj, Lucknow; (iv) Surya College of Business Management, Gaura, Mohanlalganj,Lucknow; and (v)Pal Seva Samiti","M.A.(Pol. Science, Ancient & Modern History)& LL.B.   Educated at Awadh University and Gorakhpur University","Australia, Cuba, China, France, Germany, Northen Ireland, Newzealand, Sri Lanka and U.S.A.","3/249, Vinay Khand, Gomti Nagar,Lucknow, Uttar Pradesh",,"Hockey, football, hold cricket tournament, represented All India University in hockey and football","Vill. Rameshwerpuri, Distt. Basti ( Uttar Pradesh)",,"4,97,21,330 4",,Indian National Congress,
Agatha K Sangma,Kum. Agatha K. Sangma,24/07/1980,24-Jul-80,Meghalaya,Meghalaya,https://twitter.com/agathasangma,Tura,Tura,Nationalist Congress Party,F,"66,44,295",,"M.A. (Environmental Management); Diploma in Cyber Laws; Diploma in Corporate Laws; Diploma in Human Rights Laws; Diploma in Securities & Investment Laws Educated at ILS Law College, Pune and School of Geography, University of Nottangham, United Kingdom",Widely travelled,"Walbakgri, Tura, West Garo Hills, Meghalaya",,,New Delhi,,"66,44,295 66 L",,Nationalist Congress Party,"Enviroment, youth and women issues"
P. Lingam,Shri P. Lingam,14/02/1966,14-Feb-66,Tamil Nadu,Tamil Nadu,No,Tenkasi,Tenkasi,Communist Party of India,M,"1,59,365",,"B.A. (History) Educated at Madurai Kamarajar University, Madurai, Tamil Nadu",,"273/2, 290, Kamarajnagar, Vill. MuthusamiapuramDistt. Virudhu  Nagar, Tamil Nadu - 626121Tel. 9994424650 (M)",,Kabbadi,"Muthusamiapuram, Dist. Virudhu Nagar  (Tamil Nadu)",,"1,59,365 1 Lacs",,Communist Party of India,
Raj Lakshmi,Smt. Mala Rajya Laxmi Shah,23/08/1950,23-Aug-50,Uttarakhand,Uttarakhand,No,Tehri Garhwal,Tehri Garhwal,Bharatiya Janata Party,F,"1,35,01,773","Trustee, (i) Maharaja Narendra Shah Trust, Dehra Dun, Uttarakhand; and (ii) Narendra Mahila Vidyalaya, New Tehri, Uttarakhand","Intermediate Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",Widely travelled,"The Palace, P.O. Narendra Nagar,Distt. Tehri Garhwal, Uttarakhand - 249175Tels. (01378) 227231, 227235",,"Delhi Gymkhana Club, New Delhi and Cricket Club of India, Mumbai","Kathmandu, Nepal",,"1,35,01,773 1",,Bharatiya Janta Party,Development of Hill Region and Empowerment of Women
Ajit Singh,Shri Ajit Singh,2/12/39,12-Feb-39,Uttar Pradesh,Uttar Pradesh,No,Baghpat,Baghpat,Rashtriya Lok Dal,M,"5,82,32,462",,"B.Sc., B. Tech. and M.S.   Educated at Lucknow University, Lucknow;  I.I.T. Kharagpur and Illinois  Institute of Technology, Chicago (U.S.A.) ",Widely travelled,"244/2, Shivaji Road, Meerut - 220001Uttar Pradesh",,,"Bhadola, Distt. Meerut (Uttar Pradesh)",,"5,82,32,462 5",,Rashtriya Lok Dal,Anything connected with agriculture and technology
Raghuvir Meena,Shri Raghuvir Singh Meena,#N/A,4-Feb-59,Rajasthan,Rajasthan,No,Udaipur,Udaipur,Indian National Congress,M,"67,53,883","<i>President</i>, Rajasthan Branch of All India Adivasi Development Council, Awarded Rana Punja Award by Maharana Mewar Foundation, Udaipur.Has been actively participating in social work for the upliftment of society and solving  social problems; have contributed to preserve Indian culture","B.A.  Educated at Vardhman Mahavir University, Rajasthan",Nepal,"Vill. & P.O. Parsad,  Teh. Sarada,Distt. Udaipur, RajashtanTel.  09414057686 (M)",,"Cricket; General Secretary of Vidhan Sabha Club of Rajasthan, Jaipur;organised many matches","Vill. Kharber, Distt. Udaipur (Rajasthan)",,"67,53,883",,Indian National Congress,Social Service and area  devlopment
Sachin Pilot,Shri Sachin Pilot,#N/A,7-Sep-77,Rajasthan,Rajasthan,https://twitter.com/sachinpilot,Ajmer,Ajmer,Indian National Congress,M,"4,64,89,558",,"B.A. (Hons), M.B.A.   Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",Widely Travelled,"Village - Baidpura, Distt. - Gautam Budh Nagar,Uttar Pradesh",,"Shooting ( rifle and pistol), squash & cricket",Saharanpur (Uttar Pradesh),,"4,64,89,558 4",,Indian National Congress,"Domestic and International News and Current Affairs,  International Trade and Economics,Agriculture and Rural Development, stategic and foreign affairs"
K. Chandrashekar Rao,Shri Kalva Kuntla Chandrasekhar Rao,17/02/1954,17-Feb-54,Andhra Pradesh,Andhra Pradesh,https://twitter.com/kcrtelangana,Mahabubnagar,Mahbubnagar,Telangana Rashtra Samithi,M,"2,26,69,420","Involved in social work and strived for the upliftment of downtrodden and poor;  some of the works undertaken include, (i) Massive free plantation scheme worth  one crore rupees, undertaken in Karimnagar in 2004; (ii) construction of several  homes for muslim minorities; (iii) supply of drinking water to 145 habitants affected by floods in Siddiepet constituency","M.A. (Literature)  Educated at Osmania University, Hyderabad, Andhra Pradesh",,"8-2-220-110/1/3, Road No. 14,Banjara Hills, Hyderabad  Andhra PradeshTels. (040) 23555798, 09490334567 (M)",,,"Chintamadaka, Distt. Medak (Andhra Pradesh)",,"2,26,69,420 2",,Telangana Rashtra Samithi,Writing and service to the poor
K. C Venugopal,Shri K. C. Venugopal,2/4/63,4-Feb-63,Kerala,Kerala,No,Alappuzha,Alappuzha,Indian National Congress,M,"35,33,704",Social service,"M.Sc.(Mathematics) Educated at Calicut University, Calicut, Kerala","Bahrain, Qatar, France, Germany, Kuwait, Malaysia, The Netherlands, Singapore, Spain, UAE, UK, USA,and Thailand","Rajeevam, Pazhaveed,P.O. Alapuzha, KeralaTels. (04772) 266220,  09447016661 (M)  Fax. (04772) 268720",,"Volley ball, university volley ball team member; college team captain, Payannud College, Kannur, won many prizes and awards in  many sports competitions such as sports meet for MLA`s 2008, Kerala Assembly and individual champion, MLA sport meet","Kandonthar, Distt. Kannur (Kerala)",,"35,33,704 35 L",,Indian National Congress,Environmental issues
Lalit Mohan Suklabaidya,Shri Lalit  Mohan Suklabaidya,12/1/42,1-Dec-42,Assam,Assam,No,Karimganj,Karimganj,Indian National Congress,M,"46,44,051","Active worker, Indian Red Cross Society and  Bharat  Samaj in  student life; during the period of service, associated with Ramkrisna Nagar College as its Secretary, Karimganj College, Rabindra Sadan Girls College as member  of Governing Body;  advisor of  clubs and study   circles, which were engaged in socio-cultural and  educational development ;after retirement , associated with K.C.College as member of Governing Body","M.A. (Economics) Educated at Karimganj College, Karimganj and Gauhati University, Assam","France, Indonesia, Malasiya, Mauritius, Singapore, South Africa, Switzerland, U.A.E. and U.K.","Bonomali Road,P.O. & District - Karimganj, AssamTelfax. (03843) 264636",,Associated with many sports clubs as Advisor/President,Distt. Karimganj (Assam),,"46,44,051 46 L",,Indian National Congress,Development of the  economic condition of the entire population of Karimganj and Hailakandi district and its adjacent areas
Virendra Kumar,Dr.  Virendra Kumar,27/02/1954,27-Feb-54,Madhya Pradesh,Madhya Pradesh,No,Tikamgarh,Tikamgarh,Bharatiya Janata Party,M,"25,48,466","Closely associated with the successful management and functioning of Gaushala; played an active role in Gau-Seva Sangh Sanstha, Sagar, Madhya Pradesh for the cause of cow protection; engage youth in the constructive work for removing the barriers of caste and class;and making efforts for the development of orphanages and Deaf and Dumb schools and old age homes ","M.A.(Economics), Ph.D (Child Labour) Educated at Dr. Harisingh Gaur University, Sagar, Madhya Pradesh ","Australia, China, Mangolia and Thailand","(i) Near Singhai Jain Mandir  224 Chakraghat, Sagar - 470002Madhya PradeshTel. (07582) 224000",,"Hockey, kabaddi, chess and cricket; won a number of prizes in 100 mts. and 200 mts. race events at school level ",Sagar (Madhya Pradesh),,"25,48,466 25 L",,Bharatiya Janata Party,Help the people in distress and raising their economic and social status;and providing medical and other socio-economic facilities to the lowest of the lowest strata of society and instil a sense of self respect in them.
Ashok Argal,Shri Ashok Argal,1/1/69,1-Jan-69,Madhya Pradesh,Madhya Pradesh,No,Bhind,Bhind,Bharatiya Janata Party,M,"79,53,043",Participation in community marriage ceremony of <i>Jatav Samaj,"Intermediate                   Educated at Morena Board of Secondary Education, Madhya Pradesh",France and Germany,"34-A, Shastri NagarBhind, Madhya PradeshTel. (07534) 241777",,"Volleyball, kabaddi, kho-kho and driving","Vill. Sidhari Ka Pura,  Morena (Madhya Pradesh)",Agriculturist                                               Educationist                                                Social Worker                                               Sportsperson,"79,53,043 79 L",,Bharatiya Janata Party,"Launched a crusade against evils like <i>Mrityu Bhoj </i> (a feast given on the death of a person), child marriage and the atrocities committed on weaker sections besides finding solutions to people`s problems "
Mahesh Joshi,Dr. Mahesh Joshi,14/09/1954,14-Sep-54,Rajasthan,Rajasthan,No,Jaipur,Jaipur,Indian National Congress,M,"1,03,88,500",,"M.A.(Sociology), Ph.D, P.G. Diploma(Journalism) Educated at University of Rajasthan, Rajasthan","Malaysia, Mauritius and U.K","B-20, Sen Colony, P. H. Road  Near Railway Station,Jaipur, RajasthanTel. (0141) 2202772",,"Cricket; Member, (i) Jay Club, Jaipur (ii) Rambag Golf Club, Jaipur",Jaipur (Rajasthan),,"1,03,88,500 1",,Indian National Congress,Social service
Dhananjay Singh,Shri Dhananjay Singh,16/07/1975,16-Jul-75,Uttar Pradesh,Uttar Pradesh,No,Jaunpur,Jaunpur,Bahujan Samaj Party,M,"43,62,656","Member(i) Rajya Mulya Nirdharan Committee, State of Uttar Pradesh(ii)Shri Shudistha Baba Shikshan Sansthan, Balia;Manager, Krishna Devi Girls Inter College, Ashiana, Lucknow",M.A.(Political Science),,"Shastri Nagar Colony,Olandganj, Near Saraswati Sishu MandirDistt. - Jaunpur, Uttar PradeshTels. (05452) 254364, 254366",,"Cricket, football and swimming",Kolkatta(West Bengal),,"43,62,656 43 L",,Bahujan Samaj Party,Travelling to get a personal experience of true India and have a holistice view of socio-economic-cultural and political aspects of our nation by interacting directly with the people of different strata& region of the country
Ram Sundar Das,Shri Ram Sundar Das,1/9/21,9-Jan-21,Bihar,Bihar,No,Hajipur,Hajipur,Janata Dal (United),M,"30,31,466",,"Matriculate   Educated at S.P.S., Sonpur, Distt. Saran,Bihar and Vidyasagar College, Calcutta, West Bengal (left College to join Freedom  Movement)",,"(i) Vill. and P.O. Kharika, Distt. Saran, Bihar Tel. 09431490929",,,"Gangajal, P.O. Sonpur, Distt. Saran (Bihar)",,"30,31,466 30 L",,Janata Dal (United),
Sanjeev Ganesh Naik,Dr. Sanjeev Ganesh Naik,15/04/1972,15-Apr-72,Maharashtra,Maharashtra,https://twitter.com/mpdrsanjeevnaik,Thane,Thane,Nationalist Congress Party,M,"3,04,15,344","Initiated the purchase of Morbe Dam  which is drinking water boon for Navi Mumbai; establishment of Navi Mumbai Municipal Corporation (NMMC); NMMC awarded the 1st prize in the First Sant Gadgebaba Cleanliness Drive State-2002, Government of Maharashtra","Intermediate   Educated at Mumbai University, Maharashtra","Australia, Belgium, Holland,  The Netherlands, Italy and U.K.","102, D-Wing, Balaji Garden, Sector-II,Koper khairne, Navi Mumbai - 400 701 MaharashtraTels. 09930967474, 09820307076, 09821522222 (M)",,"<I>Founder Chairman,</I>  Krida and  Sankalp, Navi Mumbai","Bonkode, Distt. Thane (Maharashtra)",,"3,04,15,344 3",,Nationalist Congress Party,
Bishnu Pada Ray,Shri Bishnu Pada Ray,19/06/1950,19-Jun-50,Andaman and Nicobar Islands,Andaman and Nicobar Islands,No,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,M,"12,41,034",,"B.Com. (Hons.)  Educated at Anand Mohan College, Kolkata, West Bengal",,"Vill. Aberdeen, P.O. Port Blair,Andaman & Nicobar Island - 744 102Tel. (03192) 233375 09434282720 (M)",,Cricket,"Nalanda, Distt. 24 Parganas (West Bengal)",,"12,41,034",,Bharatiya Janata Party,
Pradeep Jain Aditya,Shri Pradeep Kumar Jain   Aditya,#N/A,8-Sep-62,Uttar Pradesh,Uttar Pradesh,https://twitter.com/leaderpradeep,Jhansi,Jhansi,Indian National Congress,M,"33,83,718",Social service,"M.A., M.Com., L.L.B. Educated at Bundelkhand University, Jhansi, Uttar Pradesh",,"52, Gusain Pura, Jhansi, Uttar PradeshTels. (0510) 2440030 09871103294 (M)",,"Badminton, Football and  Cricket",Jhansi ( Uttar Pradesh),,"33,83,718 33 L",,Indian National Congress,Writing & reading
K. H. Muniyappa,Shri K.H. Muniyappa,3/7/48,7-Mar-48,Karnataka,Karnataka,No,Kolar,Kolar,Indian National Congress,M,"5,19,21,402",,"B.A., LL.B.          Educated at Bangalore University, Karnataka","Member, Indian Parliamentary Delegation led by the Honble Speaker, Shri G.M.C. Balayogi, to Russia,  1998","100/B, 60 Feet Road, Layout, BhoopasandraSanjay Nagar,  Bangluru - 560 094, KarnatakaTels. (080) 23415733, 23415755",,Volleyball ,"Kambadahally,  Distt. Kolar (Karnataka)",,"5,19,21,402 5",,Indian National Congress,Serving the poor 
S S Palanimanickam,Shri S.S. Palanimanickam,#N/A,15-Aug-50,Tamil Nadu,Tamil Nadu,No,Thanjavur,Thanjavur,Dravida Munnetra Kazhagam,M,"75,23,592","General-Secretary, All India Peace and Solidarity, Tamil Nadu Unit; working for the upliftment of weaker sections of the society by providing them facilities such as schools, medical camps, drinking water and link roads etc. ","B.L.  Educated at Madras Law College, Chennai, Tamil Nadu ","Led a delegation of students to the then U.S.S.R. for attending youth festival;  attended U.N. General Assembly (2001-02); attended  SAARC Parliamentarians Conference, Bangladesh; visited Egypt and South Africa as member of Indian Parliamentary Delegation durng 13th Lok Sabha; and visited Arab Countries as member of Peace Delegtion in 2004","49, Prathaba Simma Puram, SrinivasapuramThanjavur - 613 009  Tamil NaduTel. (04362) 222559   Fax. (04362) 223550",,"<I>Secretary,</I> Volleyball Association, Distt. Thanjavur ","Nattani, Distt. Pudukkottai (Tamil Nadu)",,"75,23,592 75 L",,Dravida Munnetra Kazhagam,Rural education and upliftment of the rural youth 
Prabhunath Singh,,20/11/1953,,,Bihar,No,,Maharajganj,,M,"1,70,50,000",,,,,,,,,"1,70,50,000 1",,Rashtriya Janata Dal,
Praveen Singh Aron,Shri Praveen Singh. Aron,5/8/59,8-May-59,Uttar Pradesh,Uttar Pradesh,No,Bareilly,Bareilly,Indian National Congress,M,"28,80,19,293","Worked for socio-economic upliftment and cultural well being of fellow Indians especially from weaker sections including SC/ST and minorities ; involved in blood donation camps, charity shows, opening up libraries,women empowerment centers, youth leadership and character building camps; organised numerous debates/seminars to promote national intergration, job oriented vocational training, pulse polio, etc.","B.A., LL.B.  Educated at Rohilkhand University, Bareilly, Uttar Pradesh","Canada,  Croatia, Denmark,France, Finland, Germany, Italy, Japan, Luxemburg, Malaysia, Norway, Poland, Spain, South Africa, South Korea, Sweden, U.A.E., U.K and U.S.A.","297, Salvation Army RoadBareilly, Uttar PradeshTels. (0581) 2420035, 09412761188 (M) Fax. (0581) 2567088",,"Member, (i) Rotary Club (Bareilly); (ii) Bareilly Club (Bareilly); swimming and other games",Bareilly (Uttar Pradesh),,"28,80,19,293 2",,Indian National Congress,Promotion of social and political work  oriented programmes/courses for the youth;  implementing programmes for the  betterment of rural and urban areas
M. K. Raghavan,Shri M. K. Raghavan,#N/A,21-Apr-52,Kerala,Kerala,https://twitter.com/MKR_Calicut,Kozhikode,Kozhikode,Indian National Congress,M,"14,09,694","Founded the first Govt. aided Arts and Sciences College in the co-operative sector in India;started 27 de-fibering units in the  cooperative sector in the rural areas of Kannur and Kasargod districts of Kerala;started about 30 women co-operative  societies in Kannur district which are the flagship of the co-operative movement in the sector in the northern districts of the state; started Agreenco Ltd., the prestigious federal co-operative in the agro industries sector in the state; formed many co-operative institutions which lead to generation of ample employment opportunities for the youth",B.A. (History),"China, Hong Kong, Malaysia, Thailand, UAE","`Ashoka`, Civil View Street,Post. Civil Station, Kozhikode-673020 KeralaTels. (0495) 2376622, 9446063011(M) Fax. (0495) 2376611",,,"Payannur,Kunnur(Kerala)",,"14,09,694 14 L",,Indian National Congress,
Ch. Lal Singh,Chaudhary Lal Singh,2/2/59,2-Feb-59,Jammu and Kashmir,Jammu & Kashmir,No,Udhampur,Udhampur,Indian National Congress,M,"17,62,378",Working for the labour and agricultural classes,"B.A.   Educated at Government Degree College, Kathua, Jammu and Kashmir",Mauritius,"Spl. Kothi No. 2, Gandhi NagarJammu & KashmirTels. (0191) 2432929, ( 0192) 2234984",,,"Kathua, Distt. Kathua (Jammu & Kashmir)",,"17,62,378 17 L",,Indian National Congress,
Pradeep Kumar Singh,Shri Pradeep Kumar Singh,29/12/1964,29-Dec-64,Bihar,Bihar,No,Araria,Araria,Bharatiya Janata Party,M,"2,57,014",To organise and participate in social and cultural events,"Matriculate  Educated from Education Board, Patna, Bihar",,"Om Nagar, Ward No.8,Distt. Araria, BiharTels. (06453) 224444  09431206780(M)",,Football,"Kauvachar, Distt. Araria (Bihar)",,"2,57,014 2 Lacs",,Bharatiya Janata Party,Struggle to awaken and strengthen weaker section and backward classes of society
Dinsha Patel,Shri Dinsha J. Patel,25/05/1937,25-May-37,Gujarat,Gujarat,No,Kheda,Kheda,Indian National Congress,M,"2,30,65,019","Actively associated with  Health and Educational institutions/ organisation viz; <I>Chairman,</I> (i)  Sardar Vallabh Bhai Patel       Memorial Society, Ahmedabad; (ii) Hindu Ananth Ashram, Nadiad; (iii) Balkan-ji-Bari, Nandiad; (iv)Maha Gujarat Medical Society, Nadiad;(v) Dena School of Computer Education, Nadiad; (vi) Ambubhai Puranic  College, Rajpipla; and (vii) Purshottam Solanki Trust, Prantij",Matriculate,Widely travelled; attended W.T.O. Conference at Geneva as a member of Parliamentary Delegation,"17/B, Amrakunj Society, Vithalbhai Patel RoadNadiad, Distt. Kheda - 387 001  GujaratTel. (0268) 2522220  Fax. (0268) 2521200",,"Former hockey and cricket player; heading a number of sports associations; <I>President, </I>(i) Kheda District Cricket Association, Nadiad;  (ii) Gujarat State Aquatic Association ; and (iii) Kheda District Karate Association; <I>Member,</I> Executive Committee of Gujarat Cricket Association ","Itola, Distt. Baroda (Gujarat)",,"2,30,65,019 2",,Indian National Congress,"Completion  of project of upgradation of Sardar Vallabhavbhai patel Memorial, Ahmedabad; Upliftment of the downtrodden and the promotion of educational and health institutions; and travelling, socialising and reading "
Gobinda Chandra Naskar,Shri Gobinda Chandra Naskar,16/06/1941,16-Jun-41,West Bengal,West Bengal,No,Bongaon,Bangaon,All India Trinamool Congress,M,"25,49,515","<I>Secretary</I>, Gourdaha Kuhu-Keka Sangh (from 1957 to till date), Organised various cultural social and religious programmes; associated with various clubs, libraries, co-operative societies and other socio cultural activities","M.A.(History), B.T.   Educated at South Garia Jadunath Vidyamandir, Vidyasagar , St. Xaviers College, Calcutta University and  Jadavpur University,(JU), Kolkata, West Bengal",,"80/1E, Kankulia Road (Near Ballganj Station)Kolkata- 700 029, West BengalTels. (033) 24611177, 24612800",,"<I>Secretary, </I> Gourdaha Kuhu Keka Sangh since 1957, associated with Swadeshi game; and West Bengal Champion in Swadeshi Game i.e., Gadi and Goji Competition, 1965","Gourdaha,Distt. South 24 Parganas ( West Bengal)",,"25,49,515 25 L",,All India Trinamool Congress,"Drama, Jatra, Music and Debate,"
Bhakta Charan Das,Shri Bhakta Charan Das,26/11/1958,26-Nov-58,Orissa,Odisha,https://twitter.com/visionofbhakta,Kalahandi,Kalahandi,Indian National Congress,M,"55,82,100","As Chairman, Green Kalahandi, engaged in promoting tribals rights and lifestyles, ecosystems and livelihoods; as patron of several development organizations and community based organizations, promoting empowerment of the disadvantaged, gender equity and social development; also promoting of Oriya culture mainly  folk dance, and local customs that build social capital; as chairman of All India Chhatra Sangharsh Vahini, has been crusading for the social and democratic rights of students","B.A., LL.B. Educated at Government College, Bhawanipatna, Kalahandi, Orissa and L. R. Law College, Sambalpur, Orissa",Widelly travelled,"At & P.O. Badapada, Bhawanipatna,Distt. Kalahandi, Orissa Tels. (06670) 231678,  9437023456 (M) Fax.(06670) 235678",,"Badminton, swimming, long walks, cycling, encouraging sports amongst the students and youths, providing help and guidance to youth clubs","Bhawanipatna, Distt. Kalahandi (Orissa)",,"55,82,100 55 L",,Indian National Congress,Minute study of rural India with special emphasis on Kalahandi; building contacts and partnership with all those engaged in grassroots field activities like environmental issues
A. Ganeshamurthi,Shri A. Ganeshamurthi,6/10/47,10-Jun-47,Tamil Nadu,Tamil Nadu,No,Erode,Erode,Marumalarchi Dravida Munnetra Kazhagam,M,"2,67,29,518",,"B.A. (Economics)   Educated at  Thayagaraja College, Chennai, Tamil Nadu.",,"H-45, Periyar Nagar,  Erode- 638001  Tamil NaduTels. (0424) 2256713, 09842756162 (M)",,,"Ulgapuram, Distt. Erode (Tamil Nadu)",,"2,67,29,518 2",,Marumalarchi Dravida Munnetra Kazhagam,
Raghuvansh Prasad Singh,Dr. Raghuvansh Prasad Singh,6/6/46,6-Jun-46,Bihar,Bihar,No,Vaishali,Vaishali,Rashtriya Janata Dal,M,"61,69,238",Associated with socialist movement; Teachers movement; Farmers movement; and activities related to nation building ,"M.Sc., Ph.D. (Maths)               Educated at Rajendra College, L.S. College and Bihar University, Muzaffarpur,                                          Bihar ","Germany, U.K. and U.S.A. ","Vill. Panapur Shahpur, P.O. Lavapur NarayanDistt. Vaishali  Bihar",,Yoga and exercise ,"Shahpur, Distt. Vaishali (Bihar)",,"61,69,238 61 L",,Rashtriya Janata Dal,"Social service; struggle against exploitation; legal aid to the farmers, the labourers and the oppressed; promotion of education and educational reforms"
Prabhatsinh Pratapsinh Chauhan,Shri Prabhatsinh Pratapsinh Chauhan,15/06/1941,15-Jun-41,Gujarat,Gujarat,No,Panchmahal,Panchmahal,Bharatiya Janata Party,M,"72,55,000","Organised programmes for social equality and rural development; took part in shramdan and made in-depth study of various evils in rural society like illiteracy, population explosion; malnutrition, court cases, alcoholism etc; development of rural areas  and promotion of  folk arts and culture","Higher Secondary  Educated at Shri K.K. High School, Vejalpur, Tel. Kalol, Distt. Panchmahal, Gujarat",U.S.A,"At.+P.O. - Mehelol, Teh. Godhara,Distt. - Panchmahal,  GujaratTels (02672) 283141, 09099795862 (M)",,Yoga and exercise,"Vill. Kankoni Mehelol, Teh. Godhara, Panchmahal",,"72,55,000 72 L",,Bharatiya Janata Party,Agriculture  Co-operative society and religion
Udayanraje Bhonsle,Shri Udayanraje  Pratapsingh Bhonsle,24/02/1966,24-Feb-66,Maharashtra,Maharashtra,No,Satara,Satara,Nationalist Congress Party,M,"8,30,85,300","Shivjayanti Mahotswav  in Satara district and rest of Western Maharashtra, Social work through various groups/foundations",Production Engg./DIBM ,"Canada,Europe, South-East Asia, U.K, and U.S.A","1, Shukarawarpeth Jalmandir Palace, Satara,Maharashtra - 415002Tels. (02162)  283103/4 09822477700, 09422477700 (M)",,Racing and boxing,Nasik (Maharashtra),,"8,30,85,300 8",,Nationalist Congress Party,Social development and poverty eradication
Harsh Vardhan,Shri Harsh Vardhan,20/11/1953,1-Dec-47,Uttar Pradesh,Uttar Pradesh,No,Maharajganj,Maharajganj,Indian National Congress,M,"1,70,50,000","As an M.L.A. got installed 90 tubewells, built 65 kms of unmetalled road in the constituency","B.A. Educated at Lucknow University, Lucknow, Uttar Pradesh",,"Vill. Jungle Jogiabari P.O. Anand Nagar, Distt. Maharajganj  Uttar PradeshTels. (05522) 222129 9415530984 (M)",,"Member, Basketball and Hockey teams of U.P. Sainik School, Lucknow, 1960-64",Agra (Uttar Pradesh),Agriculturist                                               Social Worker                                               Horticulturist                                              Trade Unionist,"1,70,50,000 1",,Indian National Congress,"Aspire for development work; more than 90 govt. tubewells and 20 km roads constructed in the constituency;and a sugar mill was installed in Lok Sabha constituecny, 1989-91"
Sanjay Brijkishorlal Nirupam,Shri Sanjay Nirupam,#N/A,6-Feb-65,Maharashtra,Maharashtra,https://twitter.com/sanjaynirupam,Mumbai-North,Mumbai North,Indian National Congress,M,"34,95,76,448","Organising annual events in Mumbai, Wrestling championship, mass level festival celebrations`like Ganesotsava, dahi handi, chhath puja at Juhu Beach; navratri, medical camps, etc.;create  unity among the differenct linguistic communities in the country; social and cultural issues based seminar;work for the upliftment of poor people living in slums in Mumbai; solve the important issues across all strata in Mumbai giving priority to issues such as housing, health, education transportation, infrastructure etc.","B.A. (Hons.)Political Science Educated at A.N. College, Patna, Bihar",Widely travelled,"2304, Baverly Hill Shastri Nagar, LokhandwalaAndheri West,  MumbaiTels. (022) 26311666, 28951666, 09821345666 (M)",,"Badminton, organise wrestling tournaments; <I>President</I>, Mumbai Sub-Urban Wrestling Association",Rohtas (Bihar),,"34,95,76,448 3",,Indian National Congress,Writing poems and articles on current topics
Khiladi Lal Bairwa,Shri Khiladi Lal Bairwa,1/5/64,5-Jan-64,Rajasthan,Rajasthan,No,Karauli-Dholpur,Karauli-Dholpur,Indian National Congress,M,"6,28,02,340",,"B.A.  Educated at Hindi Vishwavidyalaya, Allahabad, Uttar Pradesh",,"Vill & P.O. - Salempur, Via - Sapotra,Distt. Karoli, RajasthanTel. 09414045278(M)",,,"Salempur, Distt. Karouli (Rajasthan)",,"6,28,02,340",,Indian National Congress,
